Category,Question,Answer,Site
방문평가,방문평가 방문평가 일자 및 시간 확정을 위해 유선/SMS/알림톡 연락이 오나요?,"현대/제네시스 인증중고차 서비스에서는 방문평가 일정 확정 시, 고객님의 SMS, 모바일 앱 푸쉬 알람 및 이메일 등으로 고객님께 방문평가 예약 내역을 전달드립니다. 방문 당일은 배정된 방문평가사가 직접 고객님께 한 번 더 연락드릴 예정입니다.",현대자동차
방문평가,방문평가 방문평가 신청을 했는데 일자와 시간을 변경/취소하고 싶어요. 당일 변경/취소도 가능한가요?,방문평가 전일까지 현대/제네시스 인증중고차 서비스를 통해 예약일자/시간/장소의 변경 및 취소가 가능하며 당일 일정 변경 및 취소는 어렵습니다.,현대자동차
방문평가,방문평가 방문평가 신청 날짜 중 가능한 날짜가 없어요. 다른 날짜은 신청 불가능한가요?,방문평가 신청 기간 내 원하시는 날짜가 없으신가요? 관련하여 자세한 상담은 인증중고차 컨택센터(1522-0880)으로 연락 주시기 바랍니다.,현대자동차
방문평가,방문평가 방문평가신청은 어떻게 하나요? (어느 단계에서 진행되나요?),"현대/제네시스 인증중고차 서비스를 통해 차량의 구간 시세 확인 후, 방문평가를 희망하는 일정 및 장소를 선택하시면 됩니다.",현대자동차
방문평가,방문평가 방문평가사는 어떻게 검수를 진행하나요?,"현대/제네시스 인증중고차 서비스의 제휴업체 소속 방문평가사가 고객님이 요청하신 장소에 방문하여, 차량의 사고 여부 및 상태 진단, 사진 촬영 등을 진행하며 약 20~30분 정도 시간이 소요될 수 있습니다. 정확한 진단을 위해 웨더스트립 등 내장재 일부를 탈부착할 수 있는 점 양해 부탁드립니다.",현대자동차
내차팔기,내차팔기 사고 이력이 있는 차량도 판매가 가능한가요?,"현대/제네시스 인증중고차 서비스에서는 사고 이력이 있는 차량도 방문평가신청은 가능하나, 사고 유형 및 보험가액에 따라 판매가 불가할 수도 있습니다.",현대자동차
내차팔기,내차팔기 차량 보조키를 분실했습니다. 차량 판매가 가능한가요?,현대/제네시스 인증중고차 서비스에서는 차량 보조키를 분실한 경우에도 판매는 가능합니다.,현대자동차
내차팔기,내차팔기 내 명의가 아닌 차량은 대리 판매가 가능한가요?,"현대/제네시스 인증중고차 서비스는 해당 차량의 명의자(공동명의 포함)가 직접 서비스에 본인인증과 로그인을 통해 판매하는 것을 원칙으로 하고 있습니다. 따라서, 제 3자 명의 차량은 서비스 이용이 불가하며, 미성년자는 법정대리인의 동의서 등 추가 서류가 필요합니다. 자세한 내용은 내차팔기 가이드 참고해주세요.",현대자동차
내차팔기,내차팔기 할부가 남아있는 차량도 판매가 가능한가요?,"현대/제네시스 인증중고차 서비스에서는 할부 기간이 남아있는 차량도 방문평가신청은 가능하지만, 차량에 저당이 설정되었을 경우에 방문평가 이후 해당 금융사에 문의하여 할부금을 먼저 처리하셔야합니다.",현대자동차
내차팔기,내차팔기 자동차세를 1년 선납 후 차량을 판매하였습니다. 어떻게 환불 받을 수 있나요?,"구(군) 청 세무과에 문의하시면 변경된 자동차 등록증을 기준으로 선납한 자동차 세를 일할 계산하여 환불받을 수 있습니다.
자세한 사항은 관할 지자체 문의 및 위택스 (https://www.wetax.go.kr)를 통해 확인 가능합니다.",현대자동차
명의이전,명의이전 차량 명의이전은 직접 진행해야하나요?,현대/제네시스 인증중고차 서비스는 회사정책상 직접 명의이전 진행은 불가능합니다.,현대자동차
명의이전,명의이전 탁송 기사에게 전달하지 못한 서류가 있어요. 어떻게 전달하나요?,현대/제네시스 인증중고차 컨택센터(1522-0880)로 연락 주시면 누락 서류 제출 관련 자세히 안내드리도록 하겠습니다.,현대자동차
내차팔기,내차팔기 공동명의 차량도 판매가 가능한가요?,공동명의 차량도 판매 가능합니다.,현대자동차
내차팔기,내차팔기 유효기간 내 차량 견적을 수락하지 않아서 취소 되었어요. 기존에 받았던 견적으로 내차팔기를 다시 진행할 수 있나요?,차량 상태가 변동될 가능성이 있어 유효기간이 지나 취소된 견적은 재활용이 어렵습니다. 정확한 견적 확인을 위해 방문 평가를 다시 신청해주세요.,현대자동차
내차팔기,내차팔기 중고차 시세는 얼마나 자주 변동되나요?,"중고차 시세는 중고차 시장 내 수요와 시세정보에 따라 짧게는 1~2주, 길게는 한 달 간격으로 변동되며, 현대/제네시스 인증중고차 서비스에서 제공하는 중고차 시세와 가격 또한 이와 유사한 주기로 변동될 수 있습니다.",현대자동차
내차팔기,내차팔기 판매 계약을 취소하고 싶은데 어떻게 해야하나요?,계약 완료 이후에는 계약 취소가 불가합니다. 부득이한 사정으로 계약 취소가 필요한 경우 인증중고차 컨택센터(1522-0880)로 연락 주시기 바랍니다.,현대자동차
내차팔기,내차팔기 최종견적은 어떻게 알 수 있나요?,"현대/제네시스 인증중고차 서비스에서는 카카오 알림톡(SMS)을 통해 최종견적 발송 시점을 안내드리고 있습니다.
카카오 알림톡(SMS) 수신 후, 마이페이지를 통해 최종견적가 확인 및 수락이 가능합니다.",현대자동차
내차팔기,내차팔기 계약 이후 압류/저당이있는 경우 차량 판매를 진행할 수 없나요?,"현대/제네시스 인증중고차 서비스에서는 압류/저당 이력이 있는 차량의 경우, 이력 해제 후 판매가 가능합니다.",현대자동차
회원,회원 비밀번호가 생각나지 않아요. 비밀번호 초기화가 가능하나요?,"현대/제네시스 인증중고차 서비스 내, 로그인 화면에서 비밀번호 초기화 또는 비밀번호 찾기가 가능합니다.",현대자동차
Pricing,Pricing 판매 차량 가격이 어떻게 산정되는지 궁금해요.,현대/제네시스 인증중고차 서비스는 자체 개발한 가격엔진을 통해 국내 중고차 실거래 가격과 현 시세를 모니터링하며 현대/제네시스 인증중고차만의 까다로운 인증 검사 과정을 거쳐 공정하고 투명한 절차로 최종 판매 차량의 가격을 산정합니다.,현대자동차
특화 서비스 안내,특화 서비스 안내 현대/제네시스 인증중고차의 '내차팔기' 서비스 특징은 무엇인가요?,"현대/제네시스 인증중고차 서비스는 차량성능, 상태 및 이력정보를 객관적으로 평가하고 자체 AI 가격 엔진을 통해 공정하고 투명한 가격으로 고객의 차량을 매입합니다.",현대자동차
내차팔기,내차팔기 차량 견적만 받아봐도 되나요? 견적 요청 시 비용이 발생하나요?,"현대/제네시스 인증중고차에서 차량 견적 조회 시, 별도 이용 비용이 발생하지 않습니다.",현대자동차
탁송,탁송 탁송 시 차량 명의자가 아닌 대리인이 인수/인계가 가능한가요?,"현대/제네시스 인증중고차 서비스는 차량 명의자가 아닌 대리인도 차량 인수/인계가 가능합니다. 단, 내차팔기 서비스 이용 시 차량 대금은 사전에 입력하신 차량 명의자 계좌로만 지급되며, 명의 이전을 위해 차량 명의자의 서류를 준비해 주셔야 합니다.",현대자동차
명의이전,"명의이전 계약, 명의이전을 위한 서류는 어디서 받을 수 있나요?",현대/제네시스 인증중고차 '내차팔기' 서비스 이용을 위한 계약 및 명의이전 관련 서류는 가까운 관공서 혹은 정부24 등을 통해 발급 가능합니다.,현대자동차
내차팔기,내차팔기 내차 가격은 어떻게 산정되나요?,현대/제네시스 인증중고차는 자체 알고리즘을 기반한 중고차 Pricing Engine을 통해  중고차 실거래 및 정부기관 데이터 등을 수집/분석하여 정교화된 차량 시세를 실시간으로 제공합니다.,현대자동차
